Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
0	-298.3558	-382.9998	84.64402	2.320537	0.199804	0.800196	0.3936421
6	-302.4166	-387.3374	84.92079	2.059278	0.199804	0.800196	0.5776482
12	-291.6254	-376.6926	85.0672	1.904987	0.313257	0.686743	0.4091513
18	-291.6097	-376.9587	85.34899	1.617699	0.302417	0.697583	0.6185383
24	-291.9527	-377.3759	85.42327	1.20907	0.248175	0.751825	1.050579
30	-285.2556	-370.6618	85.40622	1.523173	0.194766	0.805234	0.6966365
36	-289.2918	-374.5744	85.28259	1.376323	0.402093	0.597907	1.024943
42	-294.1535	-379.2668	85.11337	1.464375	0.315113	0.684887	1.10158
48	-298.4333	-383.5224	85.08914	1.4886	0.372798	0.627202	1.10158
54	-300.9817	-385.9301	84.94838	1.376561	0.461966	0.538034	1.317464
60	-288.3389	-373.5126	85.17363	1.648984	0.315945	0.684055	0.8488108
66	-293.7053	-378.7603	85.05503	1.401059	0.375768	0.624232	1.208887
72	-288.5438	-373.5819	85.03814	1.947724	0.183279	0.816721	0.5524637
78	-287.3164	-372.5808	85.26438	1.690633	0.226651	0.773349	0.646423
84	-295.7715	-381.0127	85.24122	1.708488	0.383309	0.616691	0.6577941
90	-300.849	-385.9446	85.09555	1.813299	0.410573	0.589427	0.7309516
96	-294.2913	-379.1364	84.84511	1.627934	0.375846	0.624154	1.194364
102	-292.8836	-378.0169	85.13326	1.573406	0.306531	0.693469	0.9772309
108	-299.355	-383.8558	84.50079	1.763832	0.322019	0.677981	1.365542
114	-299.9239	-384.5052	84.58134	1.601237	0.32922	0.67078	1.429428
120	-295.5549	-380.4879	84.93298	1.249593	0.111098	0.888902	1.429428
126	-295.2933	-380.2887	84.99545	1.706408	0.598621	0.401379	0.9821402
132	-284.9833	-370.0746	85.09126	1.453351	0.319302	0.680698	1.131583
138	-283.7981	-368.6908	84.89278	2.028427	0.379221	0.620779	0.7107861
144	-291.2211	-376.2506	85.02954	1.898189	0.3642	0.6358	0.6995761
150	-291.3278	-375.6264	84.29858	1.58758	0.387381	0.612619	1.649123
156	-294.0895	-379.347	85.2575	1.246562	0.39178	0.60822	1.167463
162	-291.1154	-374.8854	83.77	1.49449	0.185473	0.814527	2.074758
168	-288.3069	-373.1643	84.85739	1.355881	0.296047	0.703953	1.405716
174	-292.5863	-377.5099	84.92358	1.56927	0.380172	0.619828	1.177239
180	-298.1099	-383.0908	84.98083	1.399663	0.380172	0.619828	1.272207
186	-300.1895	-385.323	85.13353	1.399663	0.37786	0.62214	1.14177
192	-299.5336	-384.3898	84.85618	1.681254	0.242231	0.757769	1.137995
198	-296.6069	-381.6104	85.0035	1.435256	0.242231	0.757769	1.223598
204	-303.6055	-388.3474	84.74198	1.946417	0.478404	0.521596	0.9957563
210	-299.0031	-382.9171	83.91402	1.067459	0.369266	0.630734	2.258742
216	-291.4729	-376.2156	84.74269	1.144392	0.344153	0.655847	1.648458
222	-294.4914	-379.9189	85.42754	1.27523	0.344153	0.655847	0.9812143
228	-293.1154	-378.3089	85.1935	1.451896	0.257531	0.742469	1.038055
234	-301.8843	-387.0072	85.12291	1.48447	0.294281	0.705719	1.074158
240	-299.6834	-384.6004	84.91703	1.789082	0.487719	0.512281	0.977794
246	-298.3025	-383.3899	85.08746	1.589745	0.135092	0.864908	1.006925
